fips,Year,County,City,TMC,Start_Lat,Start_Lng,Severity,Distance(mi),count
48039.0,2017,Brazoria,West Columbia,0.0,29.124390000000002,-95.67095,4,2.166,1
48039.0,2018,Brazoria,Alvin,1487.0,353.045386,-1143.168963,32,0.869,12
48039.0,2018,Brazoria,Angleton,2050.0,641.7842880000001,-2099.9390509999994,66,16.332000028610004,22
48039.0,2018,Brazoria,Brazoria,201.0,57.976702,-191.03931699999998,6,2.492,2
48039.0,2018,Brazoria,Clute,643.0,116.175258,-381.633041,10,16.362000267,4
48039.0,2018,Brazoria,Damon,241.0,29.298277000000002,-95.733566,2,0.0,1
48039.0,2018,Brazoria,Freeport,603.0,318.943033,-1049.419331,33,7.156,11
48039.0,2018,Brazoria,Lake Jackson,201.0,145.237402,-477.43324700000005,18,1.151,5
48039.0,2018,Brazoria,Liverpool,241.0,58.485961,-190.349743,5,3.645,2
48039.0,2018,Brazoria,Manvel,4027.0,708.076167,-2289.2680110000006,51,3.318,24
48039.0,2018,Brazoria,Pearland,9734.0,2335.6447450000005,-7535.072500000003,189,27.33899999999999,79
48039.0,2018,Brazoria,Rosharon,1206.0,353.418875,-1145.037623,31,9.632999928478002,12
48039.0,2018,Brazoria,Santa Fe,0.0,29.274209000000003,-95.14101099999999,3,3.645,1
48039.0,2019,Brazoria,Alvin,201.0,29.426035,-95.23526,2,0.0,1
48039.0,2019,Brazoria,Angleton,1326.0,495.5947700000001,-1622.4036619999997,53,9.995000000000001,17
48039.0,2019,Brazoria,Clute,201.0,116.188744,-381.603858,14,3.172000002384,4
48039.0,2019,Brazoria,Danbury,0.0,175.282789,-571.839831,20,11.431000000000001,6
48039.0,2019,Brazoria,Freeport,406.0,58.011078,-190.730421,6,2.6000000190700003,2
48039.0,2019,Brazoria,Lake Jackson,844.0,174.204656,-572.66413,18,1.5360000286100002,6
48039.0,2019,Brazoria,Liverpool,241.0,87.754847,-285.496116,8,11.59,3
48039.0,2019,Brazoria,Manvel,3625.0,678.4846059999999,-2193.9986860000004,52,11.187000028609999,23
48039.0,2019,Brazoria,Pearland,6000.0,1212.1098850000005,-3910.6169170000016,97,9.775,41
48039.0,2019,Brazoria,Rosharon,1567.0,529.498212,-1717.9618129999997,57,19.38499993324,18
48039.0,2019,Brazoria,Santa Fe,201.0,29.290670000000002,-95.125343,2,0.0,1
48039.0,2020,Brazoria,Alvin,402.0,176.380553,-571.601276,13,0.9410000059600001,6
48039.0,2020,Brazoria,Angleton,727.0,233.548571,-763.5315390000001,17,1.6320000000000001,8
48039.0,2020,Brazoria,Brazoria,201.0,57.985057,-191.134785,5,0.051,2
48039.0,2020,Brazoria,Clute,0.0,29.0155,-95.39321,4,1.151,1
48039.0,2020,Brazoria,Damon,201.0,87.87226199999999,-287.18900099999996,9,0.5509999999999999,3
48039.0,2020,Brazoria,Danbury,0.0,58.403040000000004,-190.438255,4,3.1270000000000002,2
48039.0,2020,Brazoria,Freeport,1210.0,144.986828,-476.78102099999995,11,1.48000001907,5
48039.0,2020,Brazoria,Lake Jackson,647.0,174.307401,-572.822125,16,1.9190000000000003,6
48039.0,2020,Brazoria,Manvel,4904.0,943.990457,-3052.6084449999985,66,7.784000000000001,32
48039.0,2020,Brazoria,Pearland,4495.0,1301.136292,-4196.371230000001,95,14.085999991653999,44
48039.0,2020,Brazoria,Rosharon,245.0,29.49601,-95.439362,3,2.52999997139,1
48039.0,2020,Brazoria,Santa Fe,0.0,58.57033,-190.26245999999998,8,2.0780000000000003,2
48039.0,2020,Brazoria,Sweeny,0.0,58.146135,-191.407844,4,0.393,2
48039.0,2020,Brazoria,West Columbia,0.0,29.144734000000003,-95.63890500000001,2,0.051,1
48041.0,2016,Brazos,Bryan,643.0,92.025925,-289.04679899999996,6,0.0,3
48041.0,2016,Brazos,College Station,624.0,91.794872,-289.02549700000003,6,0.01,3
48041.0,2017,Brazos,Bryan,402.0,61.31806399999999,-192.679306,4,0.01,2
48041.0,2017,Brazos,College Station,804.0,152.980448,-481.59121899999997,10,1.4700000476800001,5
48041.0,2018,Brazos,Bryan,603.0,276.13802,-867.31726,18,0.10600000000000001,9
